intersect_bp,f_orig_query,f_match,f_unique_to_query,name,filename,md5
8560000.0,0.0410847132229,0.930434782609,0.0410847132229,"NC_007951.1 Burkholderia xenovorans LB400 chromosome 1, complete sequence",../sbt/refseq-k31.sbt.json,00ba560c11b5aed2491ac8a484d4e210
7870000.0,0.0377729781617,0.998730964467,0.0377729781617,"NC_003272.1 Nostoc sp. PCC 7120 DNA, complete genome",../sbt/refseq-k31.sbt.json,b707f3cdca627cd3c985ada91454874e
6830000.0,0.0327813774898,1.0,0.0327813774898,"NC_005027.1 Rhodopirellula baltica SH 1 chromosome, complete genome",../sbt/refseq-k31.sbt.json,fe2f7e3e143e72582f902ff258901d47
6160000.0,0.0295656347492,0.998379254457,0.0295656347492,"NC_004663.1 Bacteroides thetaiotaomicron VPI-5482 chromosome, complete genome",../sbt/refseq-k31.sbt.json,8affae43de8758c8d77c302cacc884ab
5610000.0,0.0269258459323,0.980769230769,0.0269258459323,"NC_009953.1 Salinispora arenicola CNS-205, complete genome",../sbt/refseq-k31.sbt.json,9cd58999b3384a98ae6e1c6d42918dff
5340000.0,0.025629949604,0.970909090909,0.025629949604,"NC_011663.1 Shewanella baltica OS223, complete genome",../sbt/refseq-k31.sbt.json,7d8a17e40b0ac01fb333233e000e5972
5290000.0,0.0253899688025,1.0,0.0253899688025,"NC_003552.1 Methanosarcina acetivorans str. C2A, complete genome",../sbt/refseq-k31.sbt.json,5a9fc0ee959336a305ee239f9b66b7b9
5230000.0,0.0251019918407,1.0,0.0251019918407,"NC_010175.1 Chloroflexus aurantiacus J-10-fl chromosome, complete genome",../sbt/refseq-k31.sbt.json,6cf63ffd3b4cdd74285f8c2ea5c04d78
5180000.0,0.0248620110391,0.945255474453,0.0248620110391,"NC_002927.3 Bordetella bronchiseptica strain RB50, complete genome",../sbt/refseq-k31.sbt.json,81bb8380be646d9c83d4200289e1fefb
5170000.0,0.0248140148788,0.992263056093,0.0246220302376,"NC_009614.1 Bacteroides vulgatus ATCC 8482, complete genome",../sbt/refseq-k31.sbt.json,c2a9fe2dfaa14f88998b7d1dabc05f46
4950000.0,0.0237580993521,0.980119284294,0.0236621070314,"NC_010524.1 Leptothrix cholodnii SP-6, complete genome",../sbt/refseq-k31.sbt.json,77c2bf53734a8f5a0a8368ca4166f45f
4790000.0,0.0229901607871,0.971544715447,0.0229421646268,"NC_003911.12 Ruegeria pomeroyi DSS-3, complete genome",../sbt/refseq-k31.sbt.json,cce0ed45cf8a9c5f5e30e2dd96b8ad2d
4880000.0,0.0234221262299,0.927419354839,0.0220782337413,"NC_009380.1 Salinispora tropica CNB-440, complete genome",../sbt/refseq-k31.sbt.json,0859bb63eaa83740362a288b98c7052e
4500000.0,0.0215982721382,1.0,0.0215982721382,"NC_012489.1 Gemmatimonas aurantiaca T-27 DNA, complete genome",../sbt/refseq-k31.sbt.json,ea5b483d89c2834cba889470ee54bc06
4290000.0,0.0205903527718,1.0,0.0205903527718,"NC_012483.1 Acidobacterium capsulatum ATCC 51196, complete genome",../sbt/refseq-k31.sbt.json,53ae51540690b8114e8c9b1de15ac31f
3890000.0,0.0186705063595,0.992287917738,0.0185265178786,"NZ_CH959317.1 Sulfitobacter sp. NAS-14.1 scf_1099451320472 genomic scaffold, whole genome shotgun sequence",../sbt/refseq-k31.sbt.json,5d89b30ca0135902efc54d4dfef06c07
3730000.0,0.0179025677946,1.0,0.0179025677946,"NC_009012.1 Clostridium thermocellum ATCC 27405, complete genome",../sbt/refseq-k31.sbt.json,c8dfefe51d10d2bc69e98ccb9f52cb8f
3670000.0,0.0176145908327,0.98128342246,0.0176145908327,"NC_013968.1 Haloferax volcanii DS2 plasmid pHV1, complete sequence",../sbt/refseq-k31.sbt.json,3289847d4f801890f470cabe9b0f4450
3620000.0,0.0173746100312,1.0,0.0173746100312,"NC_002939.5 Geobacter sulfurreducens PCA chromosome, complete genome",../sbt/refseq-k31.sbt.json,cad70347d69826f67584d0a9d218bdbd
3210000.0,0.0154067674586,0.975683890578,0.0154067674586,"NC_001263.1 Deinococcus radiodurans R1 chromosome 1, complete sequence",../sbt/refseq-k31.sbt.json,6da635092b21eb4ed8ee2166254b07fe
3010000.0,0.0144468442525,1.0,0.0144468442525,"NC_008639.1 Chlorobium phaeobacteroides DSM 266, complete genome",../sbt/refseq-k31.sbt.json,e767853e7baa62955403be55c7f72807
2970000.0,0.0142548596112,0.996644295302,0.0142548596112,"NZ_FUZL01000003.1 Caldicellulosiruptor bescii strain MACB1019, whole genome shotgun sequence",../sbt/refseq-k31.sbt.json,0f7b165676d9981ae6ecc7d3cda4138c
2940000.0,0.0141108711303,1.0,0.0141108711303,"NC_002967.9 Treponema denticola ATCC 35405 chromosome, complete genome",../sbt/refseq-k31.sbt.json,95591705e9950838f79db07b039c8fe5
2940000.0,0.0141108711303,0.996598639456,0.01406287497,"NC_010803.1 Chlorobium limicola DSM 245, complete genome",../sbt/refseq-k31.sbt.json,9362f23a446169126889093f9e397fa4
2890000.0,0.0138708903288,0.993079584775,0.0137748980082,"NC_011060.1 Pelodictyon phaeoclathratiforme BU-1, complete genome",../sbt/refseq-k31.sbt.json,e09dfa5e16f222a6d38c184d9d516b0e
2800000.0,0.013438924886,1.0,0.013438924886,"NC_003106.2 Sulfolobus tokodaii str. 7 DNA, complete genome",../sbt/refseq-k31.sbt.json,f292d2441d8e26c207c58181bd4d744e
