intersect_bp,f_orig_query,f_match,f_unique_to_query,name,filename,md5
7020000,0.112521638777,0.999146029035,0.0560532745652,BX119912.1 Rhodopirellula baltica SH 1 complete genome,../sbt/genbank-k31.sbt.json,fe2f7e3e143e72582f902ff258901d47
4036000,0.0646919279349,0.867956989247,0.0322266404765,"AP009153.1 Gemmatimonas aurantiaca T-27 DNA, complete genome",../sbt/genbank-k31.sbt.json,ea5b483d89c2834cba889470ee54bc06
3596000,0.057639289607,0.950290851401,0.0286973602261,"CH959317.1 Sulfitobacter sp. NAS-14.1 scf_1099451320472 genomic scaffold, whole genome shotgun sequence",../sbt/genbank-k31.sbt.json,5d89b30ca0135902efc54d4dfef06c07
3484000,0.0558440725781,0.834611697028,0.0278030629681,"CP001472.1 Acidobacterium capsulatum ATCC 51196, complete genome",../sbt/genbank-k31.sbt.json,53ae51540690b8114e8c9b1de15ac31f
2976000,0.047701481054,0.803889789303,0.0237627557131,"AE017180.2 Geobacter sulfurreducens PCA, complete genome",../sbt/genbank-k31.sbt.json,cad70347d69826f67584d0a9d218bdbd
2730000,0.0437584150798,0.99128540305,0.0217984956643,"AL954747.1 Nitrosomonas europaea ATCC 19718, complete genome",../sbt/genbank-k31.sbt.json,babf34ff6867970e321bcaa4f1524612
2638000,0.0422837725204,0.993222891566,0.0210638943452,"BA000023.2 Sulfolobus tokodaii str. 7 DNA, complete genome",../sbt/genbank-k31.sbt.json,f292d2441d8e26c207c58181bd4d744e
2146000,0.0343976405719,0.994439295644,0.0171353742474,"AE000782.1 Archaeoglobus fulgidus DSM 4304, complete genome",../sbt/genbank-k31.sbt.json,3a93c5e5b629f1fce8280618c357add4
2098000,0.0336282618452,0.953636363636,0.016752103994,"AE009441.1 Pyrobaculum aerophilum str. IM2, complete genome",../sbt/genbank-k31.sbt.json,8fab421f80debb367920adaf38055609
1902000,0.0304866320446,0.911792905081,0.0151870837925,"CP000607.1 Chlorobium phaeovibrioides DSM 265, complete genome",../sbt/genbank-k31.sbt.json,95aaeaea3012141b402966b29c82fc77
1862000,0.0298454831057,0.997856377278,0.0148676919146,"CP000916.1 Thermotoga neapolitana DSM 4359, complete genome",../sbt/genbank-k31.sbt.json,afde32ceab3120d5faa07dc7a775ee73
